business_acctnum,dba_name,ownership_type,address,city,state,zip,naics,activity_desc,industry_group,definition,full_address,matched_address,geocode_score,longitude,latitude
2013065747,3B DISTRIBUTORS,CORP,524 W CALLE PRIMERA 1007 ,SAN YSIDRO,CA,92173-2836,42172,PLUMBING & HEATING EQUIPMENT & SUPPLIES WHSLE,Wholesale Trade,Core,"524 W CALLE PRIMERA 1007 , SAN YSIDRO, CA 92173-2836","4231 Balboa Ave, San Diego, California, 92117",100.0,-117.199933322705,32.811647086782
2022006860,3PL ENTERPRISES INC,SCORP,4231 BALBOA AVE ,SAN DIEGO,CA,92117-5504,4841,GENERAL FREIGHT TRUCKING,Transportation and Warehousing,Core,"4231 BALBOA AVE , SAN DIEGO, CA 92117-5504","7905 Silverton Ave, Suite 117, San Diego, California, 92126",100.0,-117.151839806303,32.890854898324
2019000233,3V TRANSPORT LLC,LLC,2455 OTAY CENTER DR 117 PMB 470 ,SAN DIEGO,CA,92154-7699,488,TRANSPORTATION SUPPORT ACTIVITIES,Transportation and Warehousing,Core,"2455 OTAY CENTER DR 117 PMB 470 , SAN DIEGO, CA 92154-7699","7715 Paseo de la Fuente, San Diego, California, 92154",96.29,-116.910853635944,32.563019847759
2023006766,4A BIOTECH INC,CORP,7905 SILVERTON AVE 117 ,SAN DIEGO,CA,92126-6346,4229,MISCELLANEOUS NONDURABLE GOODS WHSLE,Wholesale Trade,Core,"7905 SILVERTON AVE 117 , SAN DIEGO, CA 92126-6346","531 Encinitas Blvd, Suite 201, Encinitas, California, 92024",100.0,-117.279274406507,33.046017420965
2025008998,4A'S ALVARADO TORTILLAS DISTRIBUTION,SOLE,736 S 37TH ST ,SAN DIEGO,CA,92113-2804,422,"WHOLESALE TRADE, NONDURABLE GOODS",Wholesale Trade,Core,"736 S 37TH ST , SAN DIEGO, CA 92113-2804","736 S 37th St, San Diego, California, 92113",100.0,-117.114667071549,32.698295886022
2013053134,4SCREENPRINTING.COM LLC,LLC,531 ENCINITAS BLVD 201 ,ENCINITAS,CA,92024-3773,323113,COMMERCIAL SCREEN PRINTING,Manufacturing,Core,"531 ENCINITAS BLVD 201 , ENCINITAS, CA 92024-3773","1278 Alta Vista Dr, Vista, California, 92084",100.0,-117.223752009321,33.207321531702
2025008625,5 OF HEARTS,LLC,1278 ALTA VISTA DR ,VISTA,CA,92084-5647,311,FOOD MFG,Manufacturing,Core,"1278 ALTA VISTA DR , VISTA, CA 92084-5647","2455 Otay Center Dr, Suite 117, San Diego, California, 92154",98.0,-116.942697827212,32.555020327007
2019025940,664 TIRE  & SERVICE,SOLE,3601 STOCKMAN ST ,NATIONAL CITY,CA,91950-8142,48899,OTHER TRANSPORTATION SUPPORT ACTIVITIES,Transportation and Warehousing,Core,"3601 STOCKMAN ST , NATIONAL CITY, CA 91950-8142","4252 Mancilla Ct, San Diego, California, 92130",100.0,-117.222506542328,32.944530971788
2002001205,7 SUMMITS SPORTS INC,CORP,4252 MANCILLA CT ,SAN DIEGO,CA,92130-2203,421,"WHOLESALE TRADE, DURABLE GOODS",Wholesale Trade,Core,"4252 MANCILLA CT , SAN DIEGO, CA 92130-2203","3601 Stockman St, National City, California, 91950",100.0,-117.060637575137,32.662627954345
2025008635,84 LUMBER,LP,2660 CACTUS RD ,SAN DIEGO,CA,92154-8022,42131,"LUMBER, PLYWOOD, MILLWORK & WOOD PANEL WHSLE",Wholesale Trade,Core,"2660 CACTUS RD , SAN DIEGO, CA 92154-8022","2660 Cactus Rd, San Diego, California, 92154",100.0,-116.988444997458,32.549780296418
2023004229,858AERO INC,SCORP,7925 SILVERTON AVE 509 ,SAN DIEGO,CA,92126-6350,421,"WHOLESALE TRADE, DURABLE GOODS",Wholesale Trade,Core,"7925 SILVERTON AVE 509 , SAN DIEGO, CA 92126-6350","7925 Silverton Ave, Suite 509, San Diego, California, 92126",100.0,-117.150889717578,32.890839727079
2015017535,887 LLC,LLC,604 GRAVILLA ST ,LA JOLLA,CA,92037-6134,421,"WHOLESALE TRADE, DURABLE GOODS",Wholesale Trade,Core,"604 GRAVILLA ST , LA JOLLA, CA 92037-6134","604 Gravilla St, La Jolla, California, 92037",100.0,-117.27450166702,32.82952878756
2003015541,A & A ,SOLE,2314 GROVE VIEW RD ,SAN DIEGO,CA,92139-3940,81131,COMMERCIAL EQUIPMENT (EXC AUTO & ELEC) R&M,Industrial Machinery Repair,Core,"2314 GROVE VIEW RD , SAN DIEGO, CA 92139-3940","6029 Fairmount Ave, San Diego, California, 92120",100.0,-117.101504214621,32.784042881235
1998006699,A & B CORE SUPPLY CO,CORP,2866 COMMERCIAL ST ,SAN DIEGO,CA,92113-1327,4211,MOTOR VEHICLE/MOTOR VEHICLE PT & SUPPLY WHSLE,Wholesale Trade,Core,"2866 COMMERCIAL ST , SAN DIEGO, CA 92113-1327","2866 Commercial St, San Diego, California, 92113",100.0,-117.132535193643,32.705431777381
2023006210,A & D TOWING,SOLE,6029 FAIRMOUNT AVE ,SAN DIEGO,CA,92120-4013,488,TRANSPORTATION SUPPORT ACTIVITIES,Transportation and Warehousing,Core,"6029 FAIRMOUNT AVE , SAN DIEGO, CA 92120-4013","2365 Via Segundo, San Ysidro, California, 92173",100.0,-117.052987495927,32.552929628898
1981009485,A & E TEXTILE RECOVERY INC,CORP,2365 VIA SEGUNDO ,SAN YSIDRO,CA,92173-2815,313,TEXTILE MILLS,Manufacturing,Core,"2365 VIA SEGUNDO , SAN YSIDRO, CA 92173-2815","2314 Grove View Rd, San Diego, California, 92139",100.0,-117.033752285425,32.686567591823
2008019946,A 1 PLASTICS,CORP,618 W BRADLEY AVE ,EL CAJON,CA,92020-1214,339999,ALL OTHER MISCELLANEOUS MFG,Manufacturing,Core,"618 W BRADLEY AVE , EL CAJON, CA 92020-1214","618 W Bradley Ave, El Cajon, California, 92020",100.0,-116.969855864053,32.817262333267
2015040453,A B SAW & LAWNMOWER SHOP,SOLE,10830 HESS DR ,LA MESA,CA,91941,81131,COMMERCIAL EQUIPMENT (EXC AUTO & ELEC) R&M,Industrial Machinery Repair,Core,"10830 HESS DR , LA MESA, CA 91941","928 Fort Stockton Dr, Suite 209, San Diego, California, 92103",100.0,-117.171942208508,32.750907206326
2023007871,A BAR IS BORN,SOLE,6443 BELL BLUFF AVE 6443 ,SAN DIEGO,CA,92119-1032,325611,SOAP & OTHER DETERGENT MFG,Manufacturing,Core,"6443 BELL BLUFF AVE 6443 , SAN DIEGO, CA 92119-1032","10830 Hess Dr, La Mesa, California, 91941",100.0,-116.962952528597,32.767649387367
2022003273,A DESIGNED SPACE,SOLE,928 FORT STOCKTON DR 209 ,SAN DIEGO,CA,92103-1893,422,"WHOLESALE TRADE, NONDURABLE GOODS",Wholesale Trade,Core,"928 FORT STOCKTON DR 209 , SAN DIEGO, CA 92103-1893","7888 Silverton Ave, Suite H, San Diego, California, 92126",100.0,-117.151534369752,32.890904854467
2024001767,A E W TRANSPORTATION,SCORP,10325 CHANNEL RD ,LAKESIDE,CA,92040-1707,484,TRUCK TRANSPORTATION,Transportation and Warehousing,Core,"10325 CHANNEL RD , LAKESIDE, CA 92040-1707","6443 Bell Bluff Ave, San Diego, California, 92119",98.97,-117.057551106931,32.816568730779
2003016827,A P MACHINE TECHNOLOGY INC,CORP,7888 SILVERTON AVE H ,SAN DIEGO,CA,92126-6309,33271,MACHINE SHOPS,Manufacturing,Core,"7888 SILVERTON AVE H , SAN DIEGO, CA 92126-6309","10325 Channel Rd, Lakeside, California, 92040",100.0,-116.926877068787,32.864267417632
2023005836,A PENAS TRUCKING INC,CORP,2455 OTAY CENTER DR 116-P ,SAN DIEGO,CA,92154-7629,484,TRUCK TRANSPORTATION,Transportation and Warehousing,Core,"2455 OTAY CENTER DR 116-P , SAN DIEGO, CA 92154-7629","2455 Otay Center Dr, Suite 116, San Diego, California, 92154",100.0,-116.942697827212,32.555020327007
2023014546,A SMART MOVE LLC,LLC,3525 DEL MAR HEIGHTS RD 21 ,SAN DIEGO,CA,92130-2199,48421,USED HOUSEHOLD & OFFICE GOODS MOVING,Transportation and Warehousing,Core,"3525 DEL MAR HEIGHTS RD 21 , SAN DIEGO, CA 92130-2199","3995 Catamarca Dr, San Diego, California, 92124",100.0,-117.090612266721,32.817085726567
2005015246,A TO Z LIQUIDATORS INC,CORP,1590 CONTINENTAL ST 117 ,SAN DIEGO,CA,92154-5730,421,"WHOLESALE TRADE, DURABLE GOODS",Wholesale Trade,Core,"1590 CONTINENTAL ST 117 , SAN DIEGO, CA 92154-5730","1590 Continental St, San Diego, California, 92154",99.23,-116.987481832964,32.574882461957
2001005176,A WAY MOTOR,SOLE,6521 OAKRIDGE RD ,SAN DIEGO,CA,92120-2153,4211,MOTOR VEHICLE/MOTOR VEHICLE PT & SUPPLY WHSLE,Wholesale Trade,Core,"6521 OAKRIDGE RD , SAN DIEGO, CA 92120-2153","3525 Del Mar Heights Rd, Suite 21, San Diego, California, 92130",100.0,-117.230949884854,32.954947120954
2023003063,A&A CREATIVE PRODUCTS,SOLE,3995 CATAMARCA DR ,SAN DIEGO,CA,92124-3405,3231,PRINTING & RELATED SUPPORT ACTIVITIES,Manufacturing,Core,"3995 CATAMARCA DR , SAN DIEGO, CA 92124-3405","25178 Avenida Valencia, Homeland, California, 92548",100.0,-117.133665241829,33.755238118468
2020016932,A&F HAULING,SOLE,25178 AVENIDA VALENCIA ,HOMELAND,CA,92548-9745,48421,USED HOUSEHOLD & OFFICE GOODS MOVING,Transportation and Warehousing,Core,"25178 AVENIDA VALENCIA , HOMELAND, CA 92548-9745","6521 Oakridge Rd, San Diego, California, 92120",100.0,-117.054496238499,32.801170336456
2021000656,A&G TRUCKING GROUP INC,CORP,2344 AVENIDA COSTA DEL SOL ,SAN DIEGO,CA,92154-6268,4841,GENERAL FREIGHT TRUCKING,Transportation and Warehousing,Core,"2344 AVENIDA COSTA DEL SOL , SAN DIEGO, CA 92154-6268","2344 Avenida Costa del Sol, San Diego, California, 92154",100.0,-116.9604747542,32.555726753807
2003013170,A-1 ALLOYS INC,CORP,3330 BEYER BLVD F ,SAN YSIDRO,CA,92173-1351,421,"WHOLESALE TRADE, DURABLE GOODS",Wholesale Trade,Core,"3330 BEYER BLVD F , SAN YSIDRO, CA 92173-1351","3330 Beyer Blvd, Suite F, San Ysidro, California, 92173",100.0,-117.061584730196,32.566497834663
2003016995,A-1 AUTO MOTORS FOR YOU,CORP,1625 OTAY MESA CENTER RD A ,SAN DIEGO,CA,92154-8222,42111,AUTOMOBILE & OTHER MOTOR VEHICLE WHSLE,Wholesale Trade,Core,"1625 OTAY MESA CENTER RD A , SAN DIEGO, CA 92154-8222","3911 Pacific Hwy, San Diego, California, 92110",100.0,-117.187741593079,32.742130347873
1984015577,A-1 SELF STORAGE,SOLE,4680 ALVARADO CANYON RD ,SAN DIEGO,CA,92120-4304,4931,WAREHOUSING & STORAGE,Transportation and Warehousing,Core,"4680 ALVARADO CANYON RD , SAN DIEGO, CA 92120-4304","4680 Alvarado Canyon Rd, San Diego, California, 92120",100.0,-117.093277544292,32.780756839915
2007002533,A-1 SELF STORAGE,PARTNR,2245 HOTEL CIRCLE SOUTH ,SAN DIEGO,CA,92108-3315,4931,WAREHOUSING & STORAGE,Transportation and Warehousing,Core,"2245 HOTEL CIRCLE SOUTH , SAN DIEGO, CA 92108-3315","2245 Hotel Cir S, San Diego, California, 92108",100.0,-117.184064619795,32.759188568573
2007002531,A-1 STORAGE,PARTNR,3911 PACIFIC HWY ,SAN DIEGO,CA,92110-2023,4931,WAREHOUSING & STORAGE,Transportation and Warehousing,Core,"3911 PACIFIC HWY , SAN DIEGO, CA 92110-2023","1625 Otay Mesa Center Rd, San Diego, California, 92154",100.0,-116.966647690612,32.566420134421
2017012528,A-LOGISTICS & TRADING CORPORATION,CORP,9731 SIEMPRE VIVA RD 200 ,SAN DIEGO,CA,92154-7218,4841,GENERAL FREIGHT TRUCKING,Transportation and Warehousing,Core,"9731 SIEMPRE VIVA RD 200 , SAN DIEGO, CA 92154-7218","9731 Siempre Viva Rd, Suite 200, San Diego, California, 92154",100.0,-116.935426107112,32.556727385408
2025011339,A-PLUS PLASTICS,SOLE,892 SAINT GEORGE PL ,SPRING VALLEY,CA,91977-4851,326,PLASTICS & RUBBER PRODUCTS MFG,Manufacturing,Core,"892 SAINT GEORGE PL , SPRING VALLEY, CA 91977-4851","8491 Lower Scarborough Ct, San Diego, California, 92127",99.32,-117.143202506538,33.009442232088
2026000638,A-Z GALORE DISTRIBUTION,SOLE,8491 LOWER SCARBOROUGH CT 888 ,SAN DIEGO,CA,92127-6119,42248,FRESH FRUIT & VEGETABLE WHSLE,Wholesale Trade,Core,"8491 LOWER SCARBOROUGH CT 888 , SAN DIEGO, CA 92127-6119","892 Saint George Pl, Spring Valley, California, 91977",100.0,-117.008503646128,32.711967943568
2014037665,A1 DENTAL LAB ,CORP,6314 UNIVERSITY AVE ,SAN DIEGO,CA,92115-5813,339116,DENTAL LABORATORIES,Manufacturing,Core,"6314 UNIVERSITY AVE , SAN DIEGO, CA 92115-5813","6314 University Ave, San Diego, California, 92115",100.0,-117.059641302125,32.7543150367
2020017119,AA CONSULTING LLC,LLC,6530 REFLECTION DR 2463 ,SAN DIEGO,CA,92124-5132,4219,MISCELLANEOUS DURABLE GOODS WHSLE,Wholesale Trade,Core,"6530 REFLECTION DR 2463 , SAN DIEGO, CA 92124-5132","8383 Clairemont Mesa Blvd, San Diego, California, 92111",100.0,-117.144226691287,32.832741822504
1994003485,AAA ALLIANCE SELF STORAGE,LP,8383 CLAIREMONT MESA BLVD ,SAN DIEGO,CA,92111-1301,4931,WAREHOUSING & STORAGE,Transportation and Warehousing,Core,"8383 CLAIREMONT MESA BLVD , SAN DIEGO, CA 92111-1301","8305 Vickers St, Suite 106, San Diego, California, 92111",100.0,-117.146995820639,32.827257668985
2019013663,AAA MEDICAL SUPPLY,CORP,8305 VICKERS ST 106 ,SAN DIEGO,CA,92111-2111,42145,MEDICAL/DENTAL/HOSPITAL EQUIP & SUPP WHSLE,Wholesale Trade,Core,"8305 VICKERS ST 106 , SAN DIEGO, CA 92111-2111","6530 Reflection Dr, San Diego, California, 92124",98.97,-117.109324781741,32.791336100917
1993000142,AARDVARK SELF STORAGE A,SOLE,4490 MURPHY CANYON RD ,SAN DIEGO,CA,92123-4316,4931,WAREHOUSING & STORAGE,Transportation and Warehousing,Core,"4490 MURPHY CANYON RD , SAN DIEGO, CA 92123-4316","4490 Murphy Canyon Rd, San Diego, California, 92123",100.0,-117.119094811901,32.823715141427
2003023758,AARON MOVING,SOLE,8782 MOUNT ISRAEL RD ,ESCONDIDO,CA,92029-8001,48421,USED HOUSEHOLD & OFFICE GOODS MOVING,Transportation and Warehousing,Core,"8782 MOUNT ISRAEL RD , ESCONDIDO, CA 92029-8001","8782 Mount Israel Rd, Escondido, California, 92029",100.0,-117.137970522576,33.061023165035
2025023665,AARONS 3D PRINTS SD,SOLE,6879 CAMINITO MONTANOSO 20 ,SAN DIEGO,CA,92119-2346,3231,PRINTING & RELATED SUPPORT ACTIVITIES,Manufacturing,Core,"6879 CAMINITO MONTANOSO 20 , SAN DIEGO, CA 92119-2346","4370 Palm Ave, Suite D, San Diego, California, 92154",100.0,-117.039160121716,32.58377100927
2026002865,ABA TRANSPORTATION LLC,LLC,4370 PALM AVE D-338 ,SAN DIEGO,CA,92154-1760,4841,GENERAL FREIGHT TRUCKING,Transportation and Warehousing,Core,"4370 PALM AVE D-338 , SAN DIEGO, CA 92154-1760","6879 Caminito Montanoso, Unit 20, San Diego, California, 92119",100.0,-117.040079951771,32.802996166424
2022006832,ABACUS SEA LLC,LLC,5580 LA JOLLA BLVD 158 ,LA JOLLA,CA,92037-7651,42149,OTH PROFESSIONAL EQUIPMENT & SUPPLIES WHSLE,Wholesale Trade,Core,"5580 LA JOLLA BLVD 158 , LA JOLLA, CA 92037-7651","5580 La Jolla Blvd, La Jolla, California, 92037",99.17,-117.269427262838,32.813590472943
1983008515,ABAMEX LTD,CORP,10050 VIA DE LA AMISTAD 2452 ,SAN DIEGO,CA,92154-7248,42199,OTHER MISCELLANEOUS DURABLE GOODS WHSLE,Wholesale Trade,Core,"10050 VIA DE LA AMISTAD 2452 , SAN DIEGO, CA 92154-7248","10050 Via de la Amistad, Suite 2452, San Diego, California, 92154",100.0,-116.929250069395,32.552798158747
2009028750,ABATIX CORP,CORP,6490 MARINDUSTRY DR E ,SAN DIEGO,CA,92121-2563,42199,OTHER MISCELLANEOUS DURABLE GOODS WHSLE,Wholesale Trade,Core,"6490 MARINDUSTRY DR E , SAN DIEGO, CA 92121-2563","1330 Marline Ave, El Cajon, California, 92021",100.0,-116.933933373976,32.805219005237
2025017194,ABC FIRE INC,CORP,1029 PASEO DEL OCASO W ,CALEXICO,CA,92231-4517,4218,"MACHINERY, EQUIPMENT & SUPPLIES WHSLE",Wholesale Trade,Core,"1029 PASEO DEL OCASO W , CALEXICO, CA 92231-4517","1029 Paseo del Ocaso, Calexico, California, 92231",98.87,-115.485420476406,32.699531630007
2021007429,ABC IMAGING OF WASHINGTON INC,CORP,2102 HANCOCK ST ,SAN DIEGO,CA,92110-2011,3231,PRINTING & RELATED SUPPORT ACTIVITIES,Manufacturing,Core,"2102 HANCOCK ST , SAN DIEGO, CA 92110-2011","2102 Hancock St, San Diego, California, 92110",100.0,-117.1897447003,32.745024241854
2023000489,ABC TRANSPORT LLC,LLC,1330 MARLINE AVE ,EL CAJON,CA,92021-5821,48422,"SPECIALIZED FRGT (EXC USED) TRUCKING, LOCAL",Transportation and Warehousing,Core,"1330 MARLINE AVE , EL CAJON, CA 92021-5821","6490 Marindustry Dr, San Diego, California, 92121",98.87,-117.177040836391,32.881383892559
2024008951,ABEID AUTOMOTIVE OIL SUPPLY,SOLE,12110 GAY RIO WAY ,LAKESIDE,CA,92040-4958,4211,MOTOR VEHICLE/MOTOR VEHICLE PT & SUPPLY WHSLE,Wholesale Trade,Core,"12110 GAY RIO WAY , LAKESIDE, CA 92040-4958","9853 Pacific Heights Blvd, Suite D, San Diego, California, 92121",100.0,-117.188799053984,32.899334827857
2015033597,ABEOMICS INC,CORP,9853 PACIFIC HEIGHTS BLVD D ,SAN DIEGO,CA,92121-4721,31,MANUFACTURING,Manufacturing,Core,"9853 PACIFIC HEIGHTS BLVD D , SAN DIEGO, CA 92121-4721","12110 Gay Rio Way, Lakeside, California, 92040",100.0,-116.924157560302,32.835260710137
2006000643,ABLE TRUCK SERVICE & ODYSSEY CAB,SOLE,4135 TEXAS ST D ,SAN DIEGO,CA,92104-1676,48411,"GENERAL FREIGHT TRUCKING, LOCAL",Transportation and Warehousing,Core,"4135 TEXAS ST D , SAN DIEGO, CA 92104-1676","4135 Texas St, Apartment D, San Diego, California, 92104",100.0,-117.13880552777,32.752925778158
2025022093,ABOVE & BEYOND MARINE DETAILING,LLC,9577 OAK GROVE DR ,DESCANSO,CA,91916-9777,48839,OTHER WATER TRANSPORTATION SUPPORT ACTIVITIES,Transportation and Warehousing,Core,"9577 OAK GROVE DR , DESCANSO, CA 91916-9777","9577 Oak Grove Dr, Descanso, California, 91916",100.0,-116.616991654326,32.858863437017
2018005444,ABRAR TRADING,SOLE,5231 UNIVERSITY AVE ,SAN DIEGO,CA,92105-2202,4224,GROCERY & RELATED PRODUCT WHSLE,Wholesale Trade,Core,"5231 UNIVERSITY AVE , SAN DIEGO, CA 92105-2202","5231 University Ave, San Diego, California, 92105",100.0,-117.082843415943,32.749024798511
2017002036,ABRE AUTO PARK & STORAGE,SOLE,1221 INNOVATIVE DR 8 ,SAN DIEGO,CA,92154-6665,49319,OTHER WAREHOUSING & STORAGE,Transportation and Warehousing,Core,"1221 INNOVATIVE DR 8 , SAN DIEGO, CA 92154-6665","1221 Innovative Dr, San Diego, California, 92154",99.72,-117.00119769746,32.574489306781
2019006231,ABSN INC,CORP,10650 TREENA ST 303 ,SAN DIEGO,CA,92131-2437,33999,ALL OTHER MISC MFG,Manufacturing,Core,"10650 TREENA ST 303 , SAN DIEGO, CA 92131-2437","9520 Chesapeake Dr, Suite 604, San Diego, California, 92123",100.0,-117.124302069248,32.836294701712
2017011860,ABSOLUTE AV DESIGN,LLC,9520 CHESAPEAKE DR 604 ,SAN DIEGO,CA,92123-1331,33431,AUDIO & VIDEO EQUIPMENT MFG,Manufacturing,Core,"9520 CHESAPEAKE DR 604 , SAN DIEGO, CA 92123-1331","10650 Treena St, Suite 303, San Diego, California, 92131",100.0,-117.113873472956,32.911645706236
2025018020,ABUNDANCE OF LIFE SERVICE LLC,LLC,4229 CHAMOUNE AVE ,SAN DIEGO,CA,92115-4879,311812,COMMERCIAL BAKERIES,Manufacturing,Core,"4229 CHAMOUNE AVE , SAN DIEGO, CA 92115-4879","4229 Chamoune Ave, San Diego, California, 92115",100.0,-117.096455285139,32.75379647478
2005004503,ABZENA SAN DIEGO INC,CORP,6325 LUSK BLVD ,SAN DIEGO,CA,92121-2752,325414,BIOLOGICAL PRODUCT (EXC DIAGNOSTIC) MFG,Manufacturing,Core,"6325 LUSK BLVD , SAN DIEGO, CA 92121-2752","6325 Lusk Blvd, San Diego, California, 92121",100.0,-117.197252203337,32.901694836515
2017014755,AC DISTRIBUTOR,SOLE,3820 UNIVERSITY AVE ,SAN DIEGO,CA,92105-1324,42248,FRESH FRUIT & VEGETABLE WHSLE,Wholesale Trade,Core,"3820 UNIVERSITY AVE , SAN DIEGO, CA 92105-1324","3820 University Ave, San Diego, California, 92105",100.0,-117.111395447101,32.749731602496
2026003185,AC WOOD FURNITURE,SOLE,8662 AVENIDA DE LA FUENTE 5 ,SAN DIEGO,CA,92154-6228,321,WOOD PRODUCT MFG,Manufacturing,Core,"8662 AVENIDA DE LA FUENTE 5 , SAN DIEGO, CA 92154-6228","9747 Businesspark Ave, Suite 206, San Diego, California, 92131",100.0,-117.11152452841,32.9003387284
2025013323,ACADEMEASE LLC,LLC,9747 BUSINESSPARK AVE 206 ,SAN DIEGO,CA,92131-1653,4885,FREIGHT TRANSPORTATION ARRANGEMENT,Transportation and Warehousing,Core,"9747 BUSINESSPARK AVE 206 , SAN DIEGO, CA 92131-1653","8662 Avenida de la Fuente, Suite 5, San Diego, California, 92154",100.0,-116.957395997344,32.556281007154
2003016857,ACCEL-RF CORPORATION,CORP,4380 VIEWRIDGE AVE D ,SAN DIEGO,CA,92123-1678,335999,ALL OTH MISC ELECTRICAL EQUIP & COMPONENT MFG,Manufacturing,Core,"4380 VIEWRIDGE AVE D , SAN DIEGO, CA 92123-1678","4380 Viewridge Ave, Suite D, San Diego, California, 92123",100.0,-117.124819065037,32.821699754718
2009017787,ACCENT AWNINGS,CORP,8132 MIRAMAR RD ,SAN DIEGO,CA,92126-4321,33792,BLIND & SHADE MFG,Manufacturing,Core,"8132 MIRAMAR RD , SAN DIEGO, CA 92126-4321","8132 Miramar Rd, San Diego, California, 92126",100.0,-117.143945813712,32.889156138007
1988003702,ACCES/I O PRODUCTS,CORP,10623 ROSELLE ST ,SAN DIEGO,CA,92121-1506,334,COMPUTER & ELECTRONIC PRODUCT MFG,Manufacturing,Core,"10623 ROSELLE ST , SAN DIEGO, CA 92121-1506","10623 Roselle St, San Diego, California, 92121",100.0,-117.221431563246,32.896498852827
1999008846,ACCESS INDUSTRIAL TECHNOLOGY INC,CORP,8580 AVENIDA DE LA FUENTE ,SAN DIEGO,CA,92154-6284,4214,PROFESSIONAL & COMMERCIAL EQUIP & SUPP WHSLE,Wholesale Trade,Core,"8580 AVENIDA DE LA FUENTE , SAN DIEGO, CA 92154-6284","6260 Sequence Dr, San Diego, California, 92121",100.0,-117.184907755435,32.904237277295
2014023921,ACCRIVA DIAGNOSTICS,CORP,6260 SEQUENCE DR ,SAN DIEGO,CA,92121-4358,33911,MEDICAL EQUIPMENT & SUPPLIES MFG,Manufacturing,Core,"6260 SEQUENCE DR , SAN DIEGO, CA 92121-4358","8580 Avenida de la Fuente, San Diego, California, 92154",100.0,-116.958485309481,32.556476012131
